City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Whitefish,US,2021-10-07 01:31:00,48.4111,-114.3376,53.38,38,75,12.66
260,Nouadhibou,MR,2021-10-07 01:31:01,20.931,-17.0347,73.38,73,0,19.57
261,Jinchang,CN,2021-10-07 01:31:01,38.4953,102.1739,54.14,57,6,3.13
262,Vostok,RU,2021-10-07 01:31:02,46.4856,135.8833,50.16,52,39,6.93
263,Fairbanks,US,2021-10-07 01:26:38,64.8378,-147.7164,42.76,70,90,0.0
264,Katsuura,JP,2021-10-07 01:31:03,35.1333,140.3,76.19,71,94,10.33
265,Souillac,MU,2021-10-07 01:31:04,-20.5167,57.5167,69.37,94,40,3.44
266,Nuuk,GL,2021-10-07 01:31:04,64.1835,-51.7216,36.21,75,90,10.36
267,Williams Lake,CA,2021-10-07 01:31:04,52.1415,-122.1445,44.17,66,75,8.05
268,Santo Antonio Do Amparo,BR,2021-10-07 01:31:05,-20.9464,-44.9189,66.65,91,64,0.98
269,Lagoa,PT,2021-10-07 01:31:05,39.05,-27.9833,70.72,87,100,14.9
270,Ulladulla,AU,2021-10-07 01:31:06,-35.35,150.4667,81.5,48,4,15.43
271,Sao Jose Da Coroa Grande,BR,2021-10-07 01:31:06,-8.8978,-35.1478,75.09,85,48,8.59
272,Norman Wells,CA,2021-10-07 01:31:07,65.282,-126.8329,35.64,80,20,0.0
273,Strezhevoy,RU,2021-10-07 01:31:07,60.7333,77.5889,35.58,94,100,11.01
274,Richards Bay,ZA,2021-10-07 01:31:08,-28.783,32.0377,65.19,87,97,5.88
275,Carbonia,IT,2021-10-07 01:31:08,39.1672,8.5222,65.05,54,9,20.83
276,Colombo,LK,2021-10-07 01:27:02,6.9319,79.8478,75.15,85,34,9.51
277,Tura,IN,2021-10-07 01:31:08,25.5198,90.2201,78.53,80,21,0.43
278,Galle,LK,2021-10-07 01:31:09,6.0367,80.217,81.48,81,25,8.63
279,Lebu,CL,2021-10-07 01:31:10,-37.6167,-73.65,50.25,83,0,15.41
280,Asau,RO,2021-10-07 01:31:10,46.4333,26.4,42.76,94,41,1.97
281,Bekovo,RU,2021-10-07 01:31:10,52.4663,43.712,37.76,71,91,6.46
282,Bethel,US,2021-10-07 01:27:55,41.3712,-73.414,64.04,91,1,0.0
283,Gat,IL,2021-10-07 01:31:11,31.61,34.7642,67.82,62,0,4.94
284,Luba,GQ,2021-10-07 01:31:11,3.4568,8.5547,77.49,88,100,5.03
285,Myskhako,RU,2021-10-07 01:31:11,44.6714,37.7433,44.38,81,95,16.13
286,Nome,US,2021-10-07 01:26:34,64.5011,-165.4064,42.87,82,90,9.22
287,Grand Gaube,MU,2021-10-07 01:31:12,-20.0064,57.6608,69.39,83,7,1.99
288,Khryashchevka,RU,2021-10-07 01:31:12,53.8119,49.0916,28.38,70,4,4.81
289,Chapais,CA,2021-10-07 01:31:13,49.7834,-74.8492,51.58,82,97,4.18
290,Prainha,BR,2021-10-07 01:31:13,-1.8,-53.48,79.61,67,100,3.96
291,Verkhnyaya Inta,RU,2021-10-07 01:31:13,65.9811,60.3094,43.21,88,100,19.1
292,Manacor,ES,2021-10-07 01:31:14,39.5696,3.2096,60.33,73,8,2.1
293,Lima,PE,2021-10-07 01:31:09,-12.0432,-77.0282,60.13,75,90,1.99
294,Lavrentiya,RU,2021-10-07 01:31:15,65.5833,-171.0,36.95,99,100,7.45
