City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
142,Cerro Largo,BR,-28.1486,-54.7381,69.35,93,100,5.14,heavy intensity rain,2021-10-09 15:28:03
143,Ancud,CL,-41.8697,-73.8203,60.33,70,0,3.69,clear sky,2021-10-09 15:24:23
144,Cassia,BR,-20.5831,-46.9219,87.44,49,34,2.53,scattered clouds,2021-10-09 15:28:03
145,Moerai,PF,-22.4333,-151.3333,73.44,75,21,2.95,few clouds,2021-10-09 15:28:04
146,Kuzino,RU,57.0224,59.4412,41.36,86,100,8.9,overcast clouds,2021-10-09 15:28:04
147,Ankazobe,MG,-18.3167,47.1167,64.81,54,100,7.85,overcast clouds,2021-10-09 15:28:05
148,Necochea,AR,-38.5473,-58.7368,68.04,54,0,5.17,clear sky,2021-10-09 15:28:05
149,Simao,CN,22.7886,100.9748,63.61,94,100,2.62,overcast clouds,2021-10-09 15:28:05
150,Tual,ID,-5.6667,132.75,82.26,77,79,8.21,broken clouds,2021-10-09 15:23:56
151,Panguipulli,CL,-39.6333,-72.3333,53.31,41,9,2.93,clear sky,2021-10-09 15:28:06
152,Mayo,US,38.8876,-76.5119,71.26,83,90,11.99,overcast clouds,2021-10-09 15:24:02
153,Vardo,NO,70.3705,31.1107,38.05,97,100,11.48,overcast clouds,2021-10-09 15:24:24
154,Muros,ES,42.7762,-9.0603,74.84,52,100,11.9,overcast clouds,2021-10-09 15:28:07
155,Hithadhoo,MV,-0.6,73.0833,83.55,67,100,7.14,overcast clouds,2021-10-09 15:24:17
156,Nabire,ID,-3.3667,135.4833,78.35,89,88,1.86,overcast clouds,2021-10-09 15:24:58
157,Oulainen,FI,64.2667,24.8,51.26,88,48,6.46,scattered clouds,2021-10-09 15:28:07
158,Benguela,AO,-12.5763,13.4055,76.57,71,76,8.08,broken clouds,2021-10-09 15:28:08
159,Puerto Quijarro,BO,-17.7833,-57.7667,103.28,28,40,7.61,scattered clouds,2021-10-09 15:28:09
